Name,Slot/Stapel,Count,Heizsystem,Kosten,BauEmissionen,SofortCO2,Strombedarf,Stromproduktion,Stromspeicher,Wärmeschutz,Wärmepumpen-Effizienz,Zufriedenheit,SofortBudget,REAL Kosten,REAL BauEmissionen,REAL Sofort CO2,REAL Strombedarf,REAL Stromproduktion,REAL Stromspeicher,REAL Wärmeschutz,REAL Wärmepumpen-Effizienz,Voraussetzung Spalte,Voraussetzung Wert,Voraussetzung Wert NICHT,EffektLine,EffektParsed,Beschreibung
Thermische Flexibilität,*Flexibilität,1,,0,,0,0,0,2,,,-1,,,,,,,10,,,Heizsystem,WP,,"+2FL&nbsp;-1ZU",FLFLXXZM,"Wenn die Nutzer es zulassen, können Wärmepumpen zusätzlichen Strom im Gebäude als Wärme (oder im Sommer durch zusätzliche Kühlung)  speichern. So lassen sich noch mehr Erneuerbare einsetzen."
Balkon-Einbau,*Zufriedenheit,1,,1,,10,0,0,0,,,1,,,,10,,,,,,,,,+1ZU,ZU,"Ein Balkon erhöht die Wohnqualität und schafft privaten Freiraum im Bestand. Er bringt Zufriedenheit, verursacht aber zusätzliche Kosten und etwas graue Emissionen durch die neue Konstruktion."
Barrierefreier Zugang,*Zufriedenheit,1,,1,,0,0,0,0,,,1,,,,,,,,,,,,,+1ZU,ZU,"Ein barrierefreier Zugang macht das Gebäude für alle einfacher und sicherer nutzbar, besonders mit Kinderwagen, Rollstuhl oder Gehhilfe. Er erhöht die Nutzerzufriedenheit spürbar, verursacht aber je nach Bestand baulichen Aufwand und Kosten."
E-Car Lade-Infrastruktur,*Zufriedenheit,1,,1,,0,4,0,6,,,1,,,,,20,,30,,,,,,"+4BM&nbsp;+6FL&nbsp;+1ZU",BMBMBMBMXXFLFLFLFLFLFLXXZU,"Ladepunkte machen das Gebäude attraktiver für Nutzer:innen mit E-Autos. Sie steigern den Strombedarf, können aber auch als flexible Speichermöglichkeit genutzt werden (in Kombination mit ""Bi-Direktionalem Laden"")."
Fassadenbegrünung ,*Zufriedenheit,1,,2,-1,0,0,0,0,,,1,,,,,0,,,,,Name,,Fassadenintegrierte PV,"-1EN&nbsp;+1ZU",EMXXZU,"Begrünte Fassaden verbessern das Mikroklima, spenden Schatten und machen das Gebäude attraktiver. Sie erhöhen die Nutzerzufriedenheit leicht und helfen, Emissionen durch geringeren Kühlbedarf etwas zu senken."
Intensive Dachbegrünung,*Zufriedenheit,0,,999,-2,0,0,0,0,1,,,,,,,0,,,1,,,,,"-2EN&nbsp;+1WS",EMEMXXWS,"Substrat für grosse Pflanzen und Bäume. Bietet etwas Kohlenstoffspeicherung und Wärmeschutz, dafür aufwendiger in der Pflege."
Lift-Einbau,*Zufriedenheit,1,,2,,10,1,0,0,,,2,,,,10,5,,,,,,,,"+1BM&nbsp;+2ZU",BMXXZUZU,"Ein Lift macht das Gebäude komfortabler und auch im Alter oder bei eingeschränkter Mobilität gut nutzbar. Er bringt viel Nutzerzufriedenheit, ist aber teuer und erfordert größere bauliche Eingriffe."
Sonnenschutz,*Zufriedenheit,0,,999,,0,0,0,0,,1,1,,,,,,,,,1,,,,"+1EF&nbsp;+1ZU",EFXXZU,"Reduziert die Sonneneinstrahlung und damit die nötige Kühlenergie im Sommer."
Deckenheizung,Abgabe,1,,2,,0,0,0,0,,2,,,,,,0,,,,2,,,,+2EF,EFEF,"Eine Deckenheizung gibt Wärme über große Flächen ab und ermöglicht niedrige Vorlauftemperaturen. Dadurch arbeiten Wärmepumpen effizienter, während Planung, Regelung und Nutzerakzeptanz gut gelöst werden müssen."
Fussbodenheizung,Abgabe,1,,3,,0,0,0,0,,2,1,,,,,0,,,,2,,,,"+2EF&nbsp;+1ZU",EFEFXXZU,"Eine Fußbodenheizung gibt Wärme über große Flächen ab, ist komfortabel und ermöglicht niedrige Vorlauftemperaturen. Dadurch arbeiten Wärmepumpen effizienter, im Bestand sind aber Bodenaufbau, Bauaufwand und die eher träge Regelung zu beachten."
Niedertemperatur Radiator,Abgabe,1,,0,,0,0,0,0,,1,,,,,,0,,,,1,,,,+1EF,EF,"Niedertemperatur-Radiatoren sind eine günstigere Alternative zu Flächenheizungen und lassen sich im Bestand meist einfacher nachrüsten. Sie ermöglichen niedrigere Vorlauftemperaturen und verbessern damit die Effizienz der Wärmepumpe, bieten aber weniger Komfort und Effizienzpotenzial als Fußboden- oder Deckenheizung."
Radiatoren mit Lüftern,Abgabe,1,,1,,0,0,0,0,,2,-1,,,,,0,,,,2,,,,"+2EF&nbsp;-1ZU",EFEFXXZM,"Radiatoren mit Lüftern erhöhen die Wärmeabgabe und können auch bei niedrigeren Vorlauftemperaturen gut funktionieren. Sie sind einfach nachzurüsten, können aber durch Geräusche oder Luftbewegung als störend empfunden werden."
TestMassnahme,Abgabe,0,,999,,0,1,0,1,1,1,1,,,,,5,,5,1,1,,,,"+1BM&nbsp;+1FL&nbsp;+1WS&nbsp;+1EF&nbsp;+1ZU",BMXXFLXXWSXXEFXXZU,"Eine Beschreibung hier einfügen, kurz halten oder sie wird abgeschnitten"
Wandheizung,Abgabe,1,,2,,0,0,0,0,,2,,,,,,0,,,,2,,,,+2EF,EFEF,"Eine Wandheizung gibt Wärme über große Flächen ab, ist komfortabel und ermöglicht niedrige Vorlauftemperaturen. Dadurch arbeiten Wärmepumpen effizienter, im Bestand sind aber Einbauaufwand, freie Wandflächen und spätere Möblierung zu beachten."
Dachgärten,Dachnutzung,1,,1,-1,0,0,0,0,,,1,,,,,0,,,,,,,,"-1EN&nbsp;+1ZU",EMXXZU,"Bepflanzte Grünflächen, die auf dem Dach eines Gebäudes angelegt wurden, um ökologische Vorteile und einen höheren Wohnkomfort zu bieten."
Grosse Dach-PV-Anlage,Dachnutzung,1,,3,,0,0,8,0,,,,,,,,,40,,,,,,,+8SP,SPSPSPSPSPSPSPSP,"Eine große PV-Anlage nutzt die verfügbare Dachfläche konsequent und kann viel Emissionen einsparen. Damit der zusätzliche Strom gut genutzt wird, braucht sie meist Speicher oder flexible Verbraucher."
Kleine Dach-PV-Anlage,Dachnutzung,1,,1,,0,0,2,0,,,,,,,,,10,,,,,,,+2SP,SPSP,"Eine kleine PV-Anlage ist die einfache Standardlösung und deckt vor allem den direkten Eigenverbrauch. Sie spart Emissionen ohne zusätzlichen Speicher, bleibt aber in ihrem Potenzial begrenzt."
Mittlere Dach-PV-Anlage,Dachnutzung,1,,2,,0,0,4,0,,,,,,,,,20,,,,,,,+4SP,SPSPSPSP,"Eine mittlere PV-Anlage ist ein guter Kompromiss zwischen Aufwand, Kosten und Klimawirkung. Sie erzeugt mehr Strom als die kleine Variante und wird mit Speicher oder flexiblen Verbrauchern deutlich wirksamer."
PV Dachziegel,Dachnutzung,1,,2,,0,0,3,0,,,,,,,,,15,,,,,,,+3SP,SPSPSP,"Lösung für denkmalgeschützte Dächer mit reduzierter Effizienz im Vergleich zu herkömmlichen Paneelen."
PV-Pergola,Dachnutzung,1,,3,,0,0,2,0,,,1,,,,,,10,,,,,,,"+2SP&nbsp;+1ZU",SPSPXXZU,"Eine PV-Pergola ist eine überdachte Terrasse oder Freifläche, bei der die PV-Module zugleich Schatten spenden und Strom erzeugen. Sie ist aufwendig, erhöht aber die Aufenthaltsqualität und Nutzerzufriedenheit deutlich."
Thermische Solaranlage,Dachnutzung,1,,2,,0,0,0,0,1,,,,,,,0,,,1,,,,,+1WS,WS,"Eine thermische Solaranlage nutzt Sonnenwärme für Warmwasser oder Heizungsunterstützung und reduziert so den Heizenergiebedarf. Früher war sie häufiger die Standardlösung am Dach, heute wird oft PV bevorzugt."
Ambitionierte Sanierung,Dämmung,1,,2,,30,0,0,0,4,,,,,,30,0,,,4,,,,,+4WS,WSWSWSWS,"Die Gebäudehülle wird über den Mindeststandard hinaus verbessert. Dadurch sinkt der Heizwärmebedarf stärker, jedoch mit etwas höherem Material- und Investitionsaufwand."
Ambitionierte Sanierung ökologisch,Dämmung,1,,3,,-10,0,0,0,4,,,,,,-10,0,,,4,,,,,+4WS,WSWSWSWS,"Die Gebäudehülle wird über den Mindeststandard hinaus mit ökologischen Dämmstoffen verbessert. Dadurch sinkt der Heizwärmebedarf stärker."
Dämmputze,Dämmung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,+1WS,WS,"zu speziell"
Fossile Dämmstoffe,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,+2WS,WSWS,"Mineralische oder synthetische Dämmstoffe. Hohe Umweltauswirkungen."
Fossile Dämmstoffe,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,+2WS,WSWS,"Mineralische oder synthetische Dämmstoffe. Hohe Umweltauswirkungen."
Holzfaserdämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,+2WS,WSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
Holzfaserdämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,+2WS,WSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
Passivhaussanierung  konventionell,Dämmung,1,,3,,40,0,0,0,5,,,,,,40,0,,,5,,,,,+5WS,WSWSWSWSWS,"Hochwertigster Wärmeschutz, luftdichte Gebäudehülle. Die verwendeten Baustoffe sind fossil und verursachen entsprechend höhere graue Energie."
Passivhaussanierung  ökologisch,Dämmung,1,,4,,-20,0,0,0,5,,,,,,-10,0,,,5,,,,,+5WS,WSWSWSWSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
RENVELOPE,Dämmung,0,,999,,0,0,0,0,,,,,,,,0,,,,,,,,,,""
Sanierung Glasfassade,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,+2WS,WSWS,"zu speziell"
Schafwolldämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,+2WS,WSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
Schafwolldämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,+2WS,WSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
Standardsanierung,Dämmung,1,,1,,20,0,0,0,3,,,,,,20,0,,,3,,,,,+3WS,WSWSWS,"Das Gebäude wird auf den gesetzlichen Mindestandard gebracht. Der Wärmeschutz verbessert sich, die eingesetzten Materialien sind fossil."
Standardsanierung ökologisch,Dämmung,1,,2,,5,0,0,0,3,,,,,,-2,0,,,3,,,,,+3WS,WSWSWS,"Hochwertigster Wärmeschutz, luftdichte Gebäudehülle. Die verwendeten ökologischen Baustoffe reduzieren Emissionen."
Türen abdichten,Dämmung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,+1WS,WS,"Schließen Sie die Spalten zwischen Tür und Türrahmen, um Energieverluste durch Luftströme zu vermeiden."
Türen tauschen,Dämmung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,+1WS,WS,"Eine besser isolierte Tür reduziert die Transmissionsverluste."
Wärmedämmung mit Stuckelementen,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,+2WS,WSWS,"zu speziell"
Zellulosedämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,+2WS,WSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
Zellulosedämmung,Dämmung,0,,999,,0,0,0,0,2,,,,,,,0,,,2,,,,,+2WS,WSWS,"Natürlicher Dämmstoff. Geringe Umweltbelastung und recyclebar."
Fenstertausch: Holz-Alu,Fenster,1,,2,,10,0,0,0,1,,,,,,10,0,,,1,,,,,+1WS,WS,"Holz-Alu-Fenster verbessern den Wärmeschutz, sind aber hochwertiger und langlebiger als Plastikfenster. Sie kosten auch mehr."
Fenstertausch: Passivhaus,Fenster,1,,2,,20,0,0,0,2,,,,,,20,0,,,2,,,,,+2WS,WSWS,"Passivhausfenster bieten deutlich besseren Wärmeschutz und erhöhen den Wohnkomfort, besonders durch weniger Zugluft und wärmere Glasoberflächen. Sie sind teurer und verursachen durch die aufwendigere Konstruktion zusätzliche graue Emissionen."
Fenstertausch: Passivhaus ökologisch,Fenster,1,,3,,10,0,0,0,2,,,,,,10,0,,,2,,,,,+2WS,WSWS,"Ökologische Passivhausfenster verbinden sehr guten Wärmeschutz mit möglichst klimafreundlichen Materialien. Sie sind die teuerste Variante, reduzieren aber die grauen Emissionen gegenüber konventionellen Passivhausfenstern deutlich."
Fenstertausch: Plastik,Fenster,1,,1,,30,0,0,0,1,,,,,,30,0,,,1,,,,,+1WS,WS,"Kunststofffenster sind die günstige Standardlösung und verbessern den Wärmeschutz etwas. Sie verursachen geringe bis mittlere graue Emissionen, bleiben aber in Komfort und Klimawirkung begrenzt."
Tausch der Verglasung,Fenster,1,,1,,0,0,0,0,1,,,,,,,0,,,1,,,,,+1WS,WS,"Beim Tausch der Verglasung bleiben die bestehenden Fensterrahmen erhalten, nur die Scheiben werden verbessert. Das ist günstiger und verursacht weniger Eingriff als ein kompletter Fenstertausch, bringt aber nur eine begrenzte Verbesserung des Wärmeschutzes."
Dezentrale Lüftungsgeräte,Lüftung,1,,1,,0,0,0,0,1,,,,,,,0,,,1,,,,,+1WS,WS,"Dezentrale Lüftungsgeräte werden raumweise eingebaut und brauchen weniger Eingriffe in die bestehende Bausubstanz. Sie sind meist günstiger und einfacher nachzurüsten, bringen aber weniger Komfort und Energieeinsparung als eine gute zentrale Lösung."
Fensterfalzlüftung,Lüftung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,+1WS,WS,"Durch das Anbringen von Lüftungsöffnungen an den Fenstern wird eine ausreichende Luftzirkulation gewährleistet, damit sich kein Schimmel bilden kann."
Lüftungs-Brüstungsgeräte,Lüftung,0,,999,,0,0,0,0,1,,,,,,,0,,,1,,,,,+1WS,WS,"Lüftungslösungen, die im Boden, an der Decke oder in der Brüstung (zwischen Boden und Fenster, wie ein Heizkörper) installiert werden können."
Lüftungsanlage mit Wärmerückgewinnung,Lüftung,1,,3,,10,1,0,0,2,,1,,,,10,5,,,2,,,,,"+1BM&nbsp;+2WS&nbsp;+1ZU",BMXXWSWSXXZU,"Eine Komfortlüftung sorgt für hygienischen Luftwechsel und gewinnt einen großen Teil der Wärme aus der Abluft zurück. Sie verbessert Komfort und Wärmeschutz spürbar, ist aber teuer und erhöht den Strombedarf."
Mechanische Abluftanlagen,Lüftung,1,,1,,0,0,0,0,0,,1,,,,,0,,,0,,,,,+1ZU,ZU,"Eine mechanische Abluftanlage führt verbrauchte und feuchte Luft aus Bad, WC oder Küche ab und verbessert damit Hygiene und Wohnkomfort. Da keine Wärmerückgewinnung erfolgt, reduziert sie die Lüftungswärmeverluste nicht und bringt kaum energetischen Vorteil."
Zentrale Lüftungsanlage,Lüftung,1,,2,,5,1,0,0,1,,1,,,,5,5,,,1,,,,,"+1BM&nbsp;+1WS&nbsp;+1ZU",BMXXWSXXZU,"Eine zentrale Lüftungsanlage sorgt für geregelten, hygienischen Luftwechsel im Gebäude. In der einfachen Ausführung ist sie günstiger, reduziert aber die Lüftungswärmeverluste weniger stark als eine Komfortlüftung mit effizienter Wärmerückgewinnung."
Abwasserwärmepumpen,Wärmeerzeugung,1,WP,3,,0,0,0,0,,2,,,,,,0,,,,2,,,,"+2EF&nbsp;WP",EFEFXXXXWP,"Eine Abwasser-Wärmepumpe nutzt Wärme aus dem Abwasser, die sonst ungenutzt verloren gehen würde. Sie kann sehr effizient sein und viele Emissionen sparen, ist aber eine technisch anspruchsvolle und meist teurere Lösung."
Biomasse-Kessel,Wärmeerzeugung,1,BIO,2,,0,0,0,0,,,-1,,,,,0,,,,,,,,"-1ZU&nbsp;BIO",ZMXXXXBI,"Biomasse kann günstig erneuerbare Wärme bereitstellen und bestehende Heizsysteme teilweise gut ersetzen. In der Stadt ist sie aber wegen Lagerung, Anlieferung, Feinstaub und anderen Immissionen oft schwer umsetzbar."
Dezentrale Luftwärmepumpe,Wärmeerzeugung,1,WP,1,,0,0,0,0,,1,-1,,,,,0,,0,,1,,,,"+1EF&nbsp;-1ZU&nbsp;WP",EFXXZMXXXXWP,"Eine dezentrale Luftwärmepumpe ist vergleichsweise günstig und kann einzelne Wohnungen oder Bereiche direkt versorgen. Sie nutzt Außenluft als Wärmequelle, ist aber weniger effizient und kann durch Außengeräte, Lärm oder Platzbedarf im städtischen Umfeld problematisch sein."
Erdwärmepumpe,Wärmeerzeugung,1,WP,2,,10,0,0,0,,2,,,,,10,0,,0,,2,,,,"+2EF&nbsp;WP",EFEFXXXXWP,"Eine Erdwärmepumpe nutzt Wärme aus dem Erdreich und arbeitet dadurch meist sehr effizient und stabil. Sie spart viele Emissionen, ist aber wegen Bohrungen oder Erdarbeiten teuer und aufwendig umzusetzen."
Fernwärme-Anschluss,Wärmeerzeugung,1,FW,2,,0,0,0,0,,,,,,,,0,,,,,,,,FW,XXFW,"Fernwärme ist einfach und im Allgemeinen umweltverträglich, kann aber teurer sein als andere Lösungen."
Grundwasser-Wärmepumpe,Wärmeerzeugung,1,WP,2,,0,0,0,0,,2,,,,,,0,,0,,2,,,,"+2EF&nbsp;WP",EFEFXXXXWP,"Eine Grundwasser-Wärmepumpe nutzt die relativ konstante Temperatur des Grundwassers und kann sehr effizient heizen und kühlen. Sie spart viele Emissionen, ist aber teuer, genehmigungspflichtig und nur bei geeigneten Standortbedingungen möglich."
Grünes Gas,Wärmeerzeugung,1,GG,2,,0,0,0,0,,,,,,,,0,,,,,,,,GG,XXGG,"Grünes Gas kann bestehende Gasheizungen weiter nutzbar machen, ohne sofort das ganze Heizsystem umzubauen. Die Klimawirkung hängt aber stark davon ab, ob ausreichend erneuerbares Gas verfügbar und leistbar ist – hier bleibt ein großes Kosten- und Verfügbarkeitsrisiko."
Infrarotpaneele,Wärmeerzeugung,0,,999,,0,0,0,0,,,,,,,,0,,,,,,,,,,"Infrarotpaneele können in fast jedem Haus nachgerüstet werden, sind aber weit weniger effizient als Wärmepumpen und benötigen teuren Strom."
Zentrale Luftwärmepumpe,Wärmeerzeugung,1,WP,2,,0,0,0,0,,1,,,,,,0,,0,,1,,,,"+1EF&nbsp;WP",EFXXXXWP,"Eine zentrale Luftwärmepumpe versorgt das ganze Gebäude und nutzt Außenluft als Wärmequelle. Sie ist teurer als dezentrale Geräte, lässt sich aber besser planen, schalltechnisch kontrollieren und mit Speicher oder Niedertemperatur-Heizsystemen kombinieren."
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
